# FITOPT: [DEFAULT] NONE
# FITOPT:	 NONE
# ----------------------------------------
NVAR: 34
VARNAMES:  CID IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPECERR HOST_LOGMASS HOST_LOGMASS_ERR HOST_LOGsSFR HOST_LOGsSFR_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB PIa DISTCORR
# VERSION_SNANA		 = v10_45j
# TABLE NAME: FITRES
#

SN: 2016afk 150 1 NULL 1 0.0467 0.0000 0.0473 0.0000 161.0298 0.0000 9.9820 0.0020 -8.7120 0.0500 66.0385 40.4936 -99.0000 57440.6 0.3 -2.52341e-01 2.15700e-01 3.67557e-02 3.67419e-02 1.75006e+01 5.14749e-02 1.82406e-03 8.64792e-05 1.92818e-03 -4.21750e-06 -2.66829e-06 13 34.3382 0.0018 1.0000 -0.0182
SN: asassn-15bc 150 1 NULL 1 0.0364 0.0001 0.0380 0.0001 467.7366 0.0000 10.1870 0.0110 -8.4950 0.0512 187.8870 181.8342 -99.0000 57047.8 0.2 6.00080e-01 1.67500e-01 6.03849e-02 3.12071e-02 1.68649e+01 4.18995e-02 3.27397e-03 1.26345e-04 3.22622e-04 -3.39056e-06 -3.21307e-06 10 3.9392 0.9717 1.0000 -0.0176
SN: asassn-15fs 150 1 NULL 1 0.0285 0.0001 0.0292 0.0001 203.5765 0.0000 10.3790 0.0010 -19.0410 0.0500 201.7223 172.1352 -99.0000 57113.4 0.2 1.80668e-02 1.49020e-01 -1.01993e-03 3.35051e-02 1.60037e+01 5.89284e-02 7.21871e-03 3.91795e-04 3.67843e-04 -4.42255e-06 -1.01990e-05 11 31.4232 0.0017 1.0000 -0.0148
SN: asassn-15hg 150 1 NULL 1 0.0310 0.0000 0.0314 0.0000 91.8378 0.0000 10.5070 0.0060 -22.9410 0.0504 82.7544 66.6609 -99.0000 57131.5 0.6 -1.26389e+00 1.54960e-01 1.51768e-02 3.60912e-02 1.66125e+01 5.11902e-02 4.12332e-03 1.94406e-04 -1.41650e-03 9.13615e-06 -5.74882e-06 10 9.6367 0.5633 1.0000 -0.0156
SN: asassn-15jl 150 1 NULL 1 0.0349 0.0000 0.0352 0.0000 79.6636 0.0000 9.1010 0.1420 -9.8500 0.1505 108.8276 108.2478 -99.0000 57165.7 0.2 3.33320e-01 1.59310e-01 -9.26740e-02 3.10192e-02 1.64000e+01 3.47235e-02 5.02134e-03 1.60590e-04 -1.75760e-04 -1.51012e-06 -4.27595e-06 10 23.8041 0.0136 1.0000 -0.0170
SN: asassn-15kx 150 1 NULL 1 0.0170 0.0001 0.0168 0.0001 -41.4432 0.0000 10.1870 0.0280 -11.4020 0.0573 114.0775 92.7082 -99.0000 57191.6 0.1 -1.45130e+00 1.59440e-01 -8.83590e-02 3.99240e-02 1.53491e+01 9.46728e-02 1.30447e-02 1.13746e-03 2.07068e-04 -6.71281e-06 -3.57483e-05 10 13.2040 0.2802 1.0000 -0.0026
SN: asassn-15lg 150 1 NULL 1 0.0212 0.0000 0.0204 0.0000 -245.6870 0.0000 9.8360 0.0130 -11.7070 0.0517 161.0806 158.0189 -99.0000 57196.6 0.3 -1.26517e+00 1.49270e-01 -8.07471e-02 3.98761e-02 1.54088e+01 5.15943e-02 1.24140e-02 5.89912e-04 8.46212e-05 -9.54256e-06 -2.06354e-05 7 12.4964 0.1304 1.0000 -0.0086
