Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                   mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]            -19.13  9.0e-5   0.02 -19.16 -19.14 -19.13 -19.11 -19.08  51572    1.0
coeff_angles[1]   -0.16  1.1e-4   0.02  -0.21  -0.18  -0.16  -0.15  -0.12  37532    1.0
coeff_angles[2]    1.26  1.5e-4   0.03    1.2   1.24   1.26   1.27   1.31  32462    1.0
coeff_angles[3]   -0.03  1.8e-4   0.02  -0.08  -0.04  -0.03  -0.01   0.02  16943    1.0
sigma_int[1]       0.11  1.1e-4   0.02   0.08    0.1   0.11   0.13   0.15  26841    1.0
outl_frac[1]       0.01  7.1e-5   0.01 1.4e-3 4.9e-3 9.4e-3   0.02   0.05  37384    1.0
coeff[1]          -0.16  1.1e-4   0.02  -0.21  -0.18  -0.16  -0.15  -0.12  37465    1.0
coeff[2]           3.09  1.6e-3   0.29   2.54   2.89   3.08   3.27   3.68  30882    1.0
coeff[3]          -0.03  1.8e-4   0.02  -0.08  -0.04  -0.03  -0.01   0.02  16932    1.0
outl_loglike[1]    5.81  4.2e-3   1.06   3.76   5.12   5.82   6.52   7.85  64288    1.0
outl_loglike[2]    5.73  4.4e-3   1.11   3.48   5.03   5.75   6.47   7.81  64145    1.0
outl_loglike[3]     5.6  4.6e-3   1.13   3.31   4.87   5.62   6.36   7.74  58662    1.0
outl_loglike[4]    5.89  3.9e-3   1.01   3.96   5.21   5.88   6.57   7.88  68071    1.0
outl_loglike[5]    5.62  4.4e-3   1.13   3.32   4.91   5.65   6.37   7.73  66025    1.0
outl_loglike[6]    5.87  3.9e-3   1.01   3.94   5.19   5.87   6.55   7.86  67960    1.0
outl_loglike[7]    2.19    0.03   5.46 -13.51   1.72   3.89   5.18   7.01  26265    1.0
outl_loglike[8]    5.95  4.0e-3   0.99   4.06   5.28   5.94   6.62   7.92  61084    1.0
outl_loglike[9]    6.02  3.8e-3   0.97   4.18   5.35    6.0   6.68   7.96  64201    1.0
outl_loglike[10]   5.75  4.3e-3   1.07   3.65   5.06   5.76   6.47    7.8  62386    1.0
outl_loglike[11]   5.74  4.1e-3   1.06   3.66   5.03   5.74   6.45   7.78  67786    1.0
outl_loglike[12]   5.78  4.0e-3   1.04   3.77   5.09   5.78   6.48    7.8  68924    1.0
outl_loglike[13]   6.01  3.9e-3   0.97   4.16   5.33   5.99   6.66   7.95  62650    1.0
outl_loglike[14]   5.93  3.9e-3   0.99   4.04   5.25   5.91   6.59    7.9  65874    1.0
outl_loglike[15]   5.91  4.1e-3   0.99   4.02   5.23    5.9   6.58   7.87  58904    1.0
outl_loglike[16]   5.98  4.0e-3   0.98   4.12    5.3   5.96   6.64   7.93  60798    1.0
outl_loglike[17]   5.91  4.1e-3   1.01   3.96   5.22    5.9   6.59   7.89  62080    1.0
outl_loglike[18]   5.95  3.9e-3   0.99   4.06   5.27   5.93   6.61   7.91  63148    1.0
outl_loglike[19]   5.89  4.1e-3   1.01   3.95   5.21   5.88   6.56   7.87  61264    1.0
outl_loglike[20]   5.89  4.0e-3   1.01   3.96   5.21   5.89   6.57   7.87  63928    1.0
