Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                   mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]            -19.13  5.6e-5   0.02 -19.17 -19.14 -19.13 -19.12 -19.09 112939    1.0
coeff_angles[1]   -0.16  6.3e-5   0.02  -0.19  -0.17  -0.16  -0.14  -0.12  96149    1.0
coeff_angles[2]    1.25 10.0e-5   0.03   1.19   1.23   1.25   1.27   1.29  72360    1.0
sigma_int[1]       0.12  7.0e-5   0.02   0.09   0.11   0.12   0.13   0.15  57352    1.0
outl_frac[1]       0.01  5.9e-5   0.01 1.4e-3 4.9e-3 9.4e-3   0.02   0.05  54200    1.0
coeff[1]          -0.16  6.4e-5   0.02   -0.2  -0.17  -0.16  -0.14  -0.12  96167    1.0
coeff[2]            3.0  9.8e-4   0.26   2.49   2.83    3.0   3.18   3.52  72049    1.0
outl_loglike[1]    5.79  3.4e-3   1.04   3.77    5.1   5.79   6.49    7.8  91546    1.0
outl_loglike[2]    5.69  3.8e-3    1.1   3.45   4.99   5.71   6.43   7.77  85356    1.0
outl_loglike[3]    5.39  3.7e-3   1.14   3.07   4.65   5.41   6.16   7.55  94952    1.0
outl_loglike[4]    5.87  3.2e-3   0.99   3.98   5.19   5.87   6.54   7.86  96637    1.0
outl_loglike[5]    5.49  3.7e-3   1.14   3.15   4.77   5.53   6.26   7.64  95753    1.0
outl_loglike[6]    5.88  3.2e-3   0.99   4.01    5.2   5.87   6.55   7.84  97218    1.0
outl_loglike[7]    2.14    0.02   4.84 -11.78   1.39   3.66   4.99   6.86  41092    1.0
outl_loglike[8]    5.93  3.3e-3   0.99   4.06   5.25   5.92   6.59   7.88  88444    1.0
outl_loglike[9]    6.01  3.1e-3   0.96    4.2   5.33   5.99   6.65   7.94  94881    1.0
outl_loglike[10]   5.71  3.5e-3   1.07    3.6   5.01   5.72   6.42   7.77  92550    1.0
outl_loglike[11]    5.7  3.3e-3   1.04   3.68   4.99    5.7    6.4   7.73  99853    1.0
outl_loglike[12]   5.79  3.2e-3   1.02   3.83    5.1   5.79   6.48   7.79  99279    1.0
outl_loglike[13]   5.97  3.2e-3   0.97   4.13    5.3   5.96   6.63   7.91  91629    1.0
outl_loglike[14]   5.95  3.1e-3   0.97   4.15   5.27   5.93   6.61    7.9  97905    1.0
outl_loglike[15]   5.89  3.4e-3   0.99   4.02   5.21   5.88   6.56   7.85  86051    1.0
outl_loglike[16]   5.96  3.2e-3   0.97   4.14   5.28   5.94   6.61   7.91  91650    1.0
outl_loglike[17]   5.86  3.3e-3   1.01   3.92   5.17   5.86   6.54   7.85  93758    1.0
outl_loglike[18]   5.93  3.2e-3   0.98   4.08   5.25   5.91   6.59   7.88  91975    1.0
outl_loglike[19]   5.87  3.4e-3    1.0   3.96   5.18   5.86   6.54   7.84  88155    1.0
outl_loglike[20]   5.87  3.3e-3    1.0   3.96   5.18   5.86   6.54   7.84  89223    1.0
outl_loglike[21]   5.89  3.3e-3    1.0    4.0   5.21   5.88   6.56   7.86  92470    1.0
outl_loglike[22]   5.87  3.3e-3    1.0   3.95   5.18   5.86   6.54   7.85  92038    1.0
outl_loglike[23]   3.29    0.01   2.96  -5.06   2.46   3.92   5.04   6.81  50665    1.0
outl_loglike[24]   5.67  3.6e-3   1.08   3.51   4.96   5.69    6.4   7.73  91738    1.0
outl_loglike[25]   6.01  3.1e-3   0.96    4.2   5.33   5.99   6.66   7.93  95781    1.0
outl_loglike[26]   5.97  3.1e-3   0.97   4.15   5.29   5.96   6.62   7.91  94788    1.0
outl_loglike[27]   5.62  3.3e-3   1.06   3.55   4.91   5.62   6.33   7.67 104529    1.0
outl_loglike[28]   4.27  5.0e-3   1.49   1.09   3.42   4.38   5.26   6.81  89996    1.0
outl_loglike[29]   5.19  3.9e-3    1.2   2.72   4.43   5.23    6.0    7.4  92060    1.0
outl_loglike[30]   4.33  7.0e-3    1.8   0.44   3.53   4.53   5.42   7.01  66102    1.0
outl_loglike[31]   5.32  4.1e-3   1.24   2.68   4.57   5.38   6.15   7.56  92589    1.0
outl_loglike[32]   5.43  3.3e-3   1.08   3.31   4.71   5.43   6.16   7.52 106180    1.0
outl_loglike[33]   5.91  3.3e-3   0.99   4.05   5.23    5.9   6.58   7.88  91656    1.0
outl_loglike[34]    5.8  3.2e-3    1.0   3.89   5.11   5.79   6.47   7.79 100220    1.0
outl_loglike[35]   3.68  7.8e-3    2.0  -1.18    2.8   3.95   4.94   6.63  66446    1.0
outl_loglike[36]   5.81  3.4e-3   1.02   3.84   5.12   5.81    6.5   7.81  92848    1.0
outl_loglike[37]   5.78  3.3e-3   1.03   3.78   5.08   5.78   6.48   7.79  96893    1.0
outl_loglike[38]   4.79  4.2e-3    1.3   2.11    4.0   4.85   5.67   7.15  94241    1.0
outl_loglike[39]   5.96  3.2e-3   0.97   4.12   5.29   5.95   6.62   7.91  92969    1.0
