Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.12  3.7e-3   0.06 -19.24 -19.14 -19.12  -19.1 -18.98    294   1.01
coeff_angles[1]    -0.22  6.7e-3   0.09  -0.44  -0.24   -0.2  -0.17  -0.07    181   1.03
coeff_angles[2]     1.22    0.01   0.24   0.54   1.24   1.27   1.29   1.34    434   1.01
coeff_angles[3]    -0.09    0.01   0.25  -0.66  -0.19  -0.06   0.03    0.4    279   1.02
coeff_angles[4]     0.02    0.01   0.19  -0.33  -0.06-3.8e-3   0.09   0.47    304   1.02
sigma_int[1]         0.1  2.4e-3   0.03   0.03   0.09    0.1   0.12   0.14    116   1.04
outl_frac[1]        0.01  2.9e-4   0.01 1.3e-3 4.4e-3 8.7e-3   0.02   0.05   2111    1.0
coeff[1]           -0.22  7.4e-3    0.1  -0.47  -0.24   -0.2  -0.17  -0.07    180   1.03
coeff[2]             3.1    0.05   0.85    0.6   2.93   3.26   3.53   4.33    263   1.02
coeff[3]            -0.1    0.02   0.29  -0.78  -0.19  -0.06   0.03   0.43    300   1.02
coeff[4]            0.03    0.01   0.21  -0.34  -0.06-3.8e-3   0.09   0.51    334   1.02
outl_loglike[1]     6.03    0.07   1.14   3.88   5.29   6.01   6.75    8.4    253   1.02
outl_loglike[2]     6.02    0.07   1.15   3.85   5.29   6.01   6.74   8.41    249   1.02
outl_loglike[3]     6.04    0.08   1.17   3.83   5.29   6.02   6.77   8.52    215   1.02
outl_loglike[4]     5.98    0.08   1.19    3.7   5.23   5.98   6.73   8.45    226   1.02
outl_loglike[5]     6.04    0.08   1.14   3.89   5.29   6.02   6.76   8.47    216   1.02
outl_loglike[6]     5.92    0.08   1.25   3.53   5.16   5.93   6.69   8.45    223   1.02
outl_loglike[7]     5.81    0.09   1.28   3.34   5.02   5.81    6.6   8.54    193   1.02
outl_loglike[8]     5.96    0.07   1.18   3.71    5.2   5.95   6.71   8.42    249   1.02
outl_loglike[9]     6.14    0.07   1.08   4.16   5.41    6.1   6.83   8.51    215   1.02
outl_loglike[10]    4.37    0.09   4.27  -7.08   3.95   5.21   6.21   8.14   2279    1.0
outl_loglike[11]    5.88    0.08   1.24    3.5   5.11   5.87   6.65    8.4    234   1.02
outl_loglike[12]    6.09    0.08   1.11   4.02   5.35   6.05   6.78   8.47    211   1.02
outl_loglike[13]    5.97    0.08   1.22   3.76    5.2   5.94   6.71   8.52    210   1.02
outl_loglike[14]     6.1    0.07   1.09   4.07   5.37   6.07    6.8   8.46    225   1.02
outl_loglike[15]    6.16    0.08   1.08   4.19   5.44   6.12   6.84   8.52    199   1.02
outl_loglike[16]    6.04    0.08   1.15   3.87   5.29   6.02   6.76   8.45    215   1.02
outl_loglike[17]    5.93    0.08   1.22   3.57   5.16   5.92   6.69   8.43    240   1.02
outl_loglike[18]    5.93    0.08   1.21   3.63   5.17   5.91   6.68   8.48    210   1.02
outl_loglike[19]    6.17    0.08   1.08   4.19   5.43   6.12   6.84   8.55    185   1.02
outl_loglike[20]    6.06    0.08   1.13   3.94   5.31   6.03   6.77   8.53    192   1.02
outl_loglike[21]    6.13    0.07   1.08   4.12    5.4    6.1   6.82   8.47    227   1.02
outl_loglike[22]    6.04    0.06   1.09   3.98   5.32   6.02   6.74   8.28    280   1.02
outl_loglike[23]    6.13    0.08   1.09   4.13    5.4   6.09   6.82    8.5    206   1.02
outl_loglike[24]    6.12    0.07   1.08   4.12   5.39   6.09   6.81    8.4    259   1.02
outl_loglike[25]    6.07    0.08   1.13   3.95   5.31   6.04   6.78   8.51    202   1.02
outl_loglike[26]    6.09    0.07   1.11   4.04   5.36   6.06   6.79   8.46    230   1.02
outl_loglike[27]    6.02    0.07   1.12   3.91   5.29    6.0   6.73   8.35    258   1.02
outl_loglike[28]    5.97    0.08   1.17   3.77   5.21   5.94    6.7   8.49    211   1.02
outl_loglike[29]    5.99    0.06   1.15   3.84   5.25   5.97   6.72   8.31    331   1.01
outl_loglike[30]    5.95    0.08   1.17   3.68    5.2   5.94   6.69   8.34    225   1.02
outl_loglike[31]    5.37    0.09   1.83   1.89   4.58   5.52   6.39   8.29    385   1.01
outl_loglike[32]    6.18    0.07   1.07   4.23   5.45   6.13   6.85   8.53    210   1.02
outl_loglike[33]    6.15    0.08   1.09   4.14   5.41    6.1   6.82   8.54    186   1.02
outl_loglike[34]    6.03    0.06   1.13   3.89    5.3   6.01   6.75   8.35    312   1.01
outl_loglike[35]    6.08    0.08   1.13   3.97   5.34   6.05   6.78   8.54    226   1.02
outl_loglike[36]    4.98     0.1   2.53   0.27    4.2   5.28   6.23   8.29    627   1.01
outl_loglike[37]     6.0    0.07   1.17   3.75   5.25   5.99   6.74   8.43    266   1.02
outl_loglike[38]    5.93    0.08   1.19   3.64   5.16   5.91   6.68   8.45    219   1.02
outl_loglike[39]    6.18    0.07   1.07   4.22   5.45   6.13   6.85   8.51    211   1.02
outl_loglike[40]    6.05    0.08   1.15   3.92    5.3   6.01   6.77   8.53    206   1.02
outl_loglike[41]    6.11    0.07    1.1   4.07   5.37   6.07    6.8   8.48    229   1.02
