Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.14  2.3e-4   0.03 -19.19 -19.15 -19.14 -19.12 -19.09  12628    1.0
coeff_angles[1]     -0.2  2.9e-4   0.03  -0.27  -0.22   -0.2  -0.18  -0.14  11156    1.0
coeff_angles[2]     1.27  1.6e-4   0.02   1.21   1.25   1.27   1.28   1.31  25768    1.0
coeff_angles[3]    -0.06  2.8e-4   0.03  -0.11  -0.07  -0.06  -0.04-9.1e-3   8338    1.0
sigma_int[1]        0.11  1.7e-4   0.02   0.07    0.1   0.11   0.13   0.15  12588    1.0
outl_frac[1]        0.02  1.2e-4   0.02 1.5e-3 5.8e-3   0.01   0.02   0.07  22308    1.0
coeff[1]            -0.2  3.1e-4   0.03  -0.27  -0.22   -0.2  -0.18  -0.14  11095    1.0
coeff[2]             3.2  1.7e-3   0.28   2.67   3.02    3.2   3.39   3.76  25272    1.0
coeff[3]           -0.06  2.8e-4   0.03  -0.11  -0.07  -0.06  -0.04-9.1e-3   8323    1.0
outl_loglike[1]     5.67  5.9e-3   1.07   3.64   4.94   5.67   6.39   7.77  32750    1.0
outl_loglike[2]     5.63  6.2e-3    1.1   3.53    4.9   5.64   6.37   7.75  31722    1.0
outl_loglike[3]     5.32  7.2e-3   1.26   2.71   4.54   5.37   6.17    7.6  30643    1.0
outl_loglike[4]     5.44  7.8e-3   1.25   2.99   4.69   5.48   6.24   7.67  25515    1.0
outl_loglike[5]     5.66  5.9e-3   1.07   3.64   4.93   5.65   6.38   7.75  32937    1.0
outl_loglike[6]      5.5  6.2e-3   1.17   3.19   4.75   5.52   6.29   7.68  35009    1.0
outl_loglike[7]     5.46  5.5e-3   1.13   3.27   4.71   5.46   6.22   7.62  42109    1.0
outl_loglike[8]     5.62  5.9e-3   1.08   3.57   4.88   5.62   6.35   7.74  33191    1.0
outl_loglike[9]     5.82  5.5e-3    1.0    4.0   5.11   5.79    6.5   7.84  33171    1.0
outl_loglike[10]    3.32    0.03   4.56 -10.51   2.99    4.5   5.58   7.24  19055    1.0
outl_loglike[11]    5.73  5.6e-3   1.03   3.84   5.01   5.71   6.43   7.79  34056    1.0
outl_loglike[12]    5.71  5.7e-3   1.03   3.81   4.99    5.7   6.41   7.77  33481    1.0
outl_loglike[13]    5.61  5.4e-3   1.06   3.64   4.88    5.6   6.33   7.71  38974    1.0
outl_loglike[14]    5.77  5.7e-3   1.02    3.9   5.05   5.75   6.46   7.81  32554    1.0
outl_loglike[15]    5.79  5.7e-3   1.02   3.92   5.07   5.77   6.48   7.83  32336    1.0
outl_loglike[16]    5.65  5.9e-3   1.08   3.61   4.92   5.65   6.38   7.76  33066    1.0
outl_loglike[17]     5.5  6.1e-3   1.14   3.25   4.75   5.52   6.27   7.68  34605    1.0
outl_loglike[18]    5.64  5.8e-3   1.08   3.59   4.91   5.64   6.37   7.75  35143    1.0
outl_loglike[19]    5.77  5.7e-3   1.02   3.89   5.06   5.76   6.46   7.82  32563    1.0
outl_loglike[20]    5.73  5.7e-3   1.03   3.82   5.01   5.72   6.43   7.81  32595    1.0
outl_loglike[21]    5.77  5.7e-3   1.02    3.9   5.05   5.75   6.46    7.8  31938    1.0
outl_loglike[22]    5.68  5.8e-3   1.05   3.75   4.95   5.67    6.4   7.76  32657    1.0
outl_loglike[23]    5.77  5.7e-3   1.02    3.9   5.04   5.74   6.46   7.82  32653    1.0
outl_loglike[24]    5.75  5.7e-3   1.02   3.86   5.03   5.73   6.45    7.8  32359    1.0
outl_loglike[25]    5.62  5.6e-3   1.08   3.59   4.89   5.62   6.35   7.74  36616    1.0
outl_loglike[26]    5.72  5.7e-3   1.04    3.8    5.0   5.71   6.43   7.79  33173    1.0
outl_loglike[27]    5.65  5.8e-3   1.07   3.65   4.92   5.64   6.37   7.73  33820    1.0
outl_loglike[28]    5.79  5.5e-3   1.01   3.96   5.08   5.77   6.47   7.82  33659    1.0
outl_loglike[29]    5.61  5.8e-3   1.08   3.56   4.87   5.61   6.34   7.71  35013    1.0
outl_loglike[30]    5.52  6.3e-3   1.15   3.23   4.78   5.54   6.29   7.68  33363    1.0
outl_loglike[31]    4.62    0.01   2.11  -0.12   3.86   4.92   5.84   7.38  25993    1.0
outl_loglike[32]     5.8  5.6e-3   1.01   3.96   5.08   5.78   6.48   7.82  32504    1.0
outl_loglike[33]    5.73  5.7e-3   1.04   3.82   5.01   5.72   6.43   7.79  33093    1.0
outl_loglike[34]    5.67  5.9e-3   1.07   3.67   4.94   5.66   6.39   7.77  32659    1.0
outl_loglike[35]    5.67  5.9e-3   1.07   3.68   4.94   5.66   6.39   7.76  32895    1.0
