Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                   mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]            -19.14  2.0e-3   0.15 -19.45  -19.2 -19.12 -19.06 -18.92   5511    1.0
coeff_angles[1]   -0.22  9.7e-4   0.08  -0.39  -0.26  -0.22  -0.18  -0.09   6682    1.0
coeff_angles[2]    1.31  1.2e-3   0.09   1.19   1.29   1.32   1.34   1.38   4770    1.0
coeff_angles[3]   -0.06  7.8e-4   0.06  -0.19  -0.09  -0.06  -0.03   0.04   5586    1.0
sigma_int[1]        0.1  6.9e-4   0.04   0.04   0.07    0.1   0.12   0.17   2808    1.0
outl_frac[1]       0.02  2.3e-4   0.02 1.4e-3 5.3e-3   0.01   0.02   0.06   4786    1.0
coeff[1]          -0.23  1.1e-3   0.09  -0.41  -0.27  -0.22  -0.18  -0.09   5937    1.0
coeff[2]           3.88  8.3e-3   0.71   2.47   3.47    3.9   4.34   5.19   7319    1.0
coeff[3]          -0.06  8.2e-4   0.06  -0.19  -0.09  -0.06  -0.03   0.04   5365    1.0
outl_loglike[1]    5.86  6.6e-3   1.16   3.63   5.14   5.87   6.61   7.99  31002    1.0
outl_loglike[2]    5.71  8.0e-3   1.28   3.25   4.97   5.75   6.51   7.93  25980    1.0
outl_loglike[3]    5.95  6.2e-3   1.08   3.87   5.24   5.94   6.67   8.05  30291    1.0
outl_loglike[4]    5.59    0.02   1.76   2.96   4.87   5.67   6.46   7.91   7228    1.0
outl_loglike[5]    5.75  6.6e-3   1.21    3.4   5.01   5.78   6.53   7.94  33351    1.0
outl_loglike[6]    5.95  6.7e-3   1.08   3.86   5.24   5.95   6.67   8.03  25868    1.0
outl_loglike[7]    5.96  6.4e-3   1.08    3.9   5.25   5.96   6.68   8.04  28638    1.0
outl_loglike[8]    5.93  8.2e-3   1.11   3.84   5.21   5.94   6.66   8.02  18281    1.0
outl_loglike[9]    5.72  6.4e-3   1.22   3.36   4.99   5.76   6.51   7.93  37082    1.0
outl_loglike[10]   5.82  8.2e-3   1.13   3.64   5.11   5.84   6.57   7.93  18793    1.0
outl_loglike[11]   5.63    0.01   1.55   3.02   4.94   5.73   6.49   7.89  20486    1.0
outl_loglike[12]   5.98  6.1e-3   1.06   3.94   5.27   5.97   6.69   8.04  30236    1.0
outl_loglike[13]   5.72  8.6e-3   1.45   3.15   5.01   5.79   6.56   7.98  28262    1.0
outl_loglike[14]   5.99  6.2e-3   1.06   3.96   5.28   5.97   6.69   8.06  28763    1.0
outl_loglike[15]   5.97  6.5e-3   1.07   3.91   5.25   5.96   6.69   8.04  26815    1.0
outl_loglike[16]   5.98  6.4e-3   1.06   3.96   5.27   5.97   6.69   8.04  27120    1.0
outl_loglike[17]    3.6    0.05   6.68 -14.27    3.7   5.03   6.05   7.69  15424    1.0
outl_loglike[18]   5.87  6.3e-3   1.12   3.66   5.16   5.88   6.62   8.02  31442    1.0
outl_loglike[19]   5.95  6.4e-3   1.06    3.9   5.24   5.94   6.66   8.02  27701    1.0
outl_loglike[20]   3.63    0.05   5.94 -12.03   3.52   4.86   5.91    7.6  12409    1.0
outl_loglike[21]   5.73  7.4e-3   1.33   3.28   5.01   5.78   6.54   7.95  32252    1.0
outl_loglike[22]   5.81    0.01   1.29   3.51    5.1   5.84   6.59   7.99  15424    1.0
outl_loglike[23]   5.82  8.6e-3    1.2   3.51   5.11   5.85    6.6   7.98  19267    1.0
outl_loglike[24]   5.91  6.5e-3   1.09   3.81    5.2   5.91   6.64   8.01  28072    1.0
outl_loglike[25]   5.46    0.02   2.43   2.34   4.83   5.68   6.48   7.92  16124    1.0
outl_loglike[26]   1.55     0.2  13.04 -38.67   3.47   4.93   5.97   7.61   4271    1.0
outl_loglike[27]   5.96  8.0e-3   1.08   3.87   5.24   5.96   6.68   8.04  18088    1.0
outl_loglike[28]   5.83  7.5e-3   1.22   3.57   5.12   5.86   6.61   7.99  26336    1.0
outl_loglike[29]   5.82  6.9e-3   1.19   3.52    5.1   5.84   6.58   7.99  29485    1.0
outl_loglike[30]   5.96  6.1e-3   1.07   3.89   5.25   5.95   6.67   8.04  31323    1.0
outl_loglike[31]   5.91  6.7e-3   1.15   3.76   5.21   5.93   6.65   8.02  29218    1.0
lp__              72.52    0.19  12.02  50.12  64.38  72.08  80.14  97.22   3884    1.0

Samples were drawn using NUTS at Thu May 21 10:57:18 2020.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
