Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]              -19.1  2.1e-3   0.07 -19.23 -19.13  -19.1 -19.07 -18.91   1291    1.0
coeff_angles[1]    -0.22  3.1e-3   0.08  -0.42  -0.25   -0.2  -0.17  -0.05    728   1.01
coeff_angles[2]     1.17    0.01   0.29   0.21    1.2   1.26   1.29   1.34    772   1.01
coeff_angles[3]    -0.21    0.01   0.25  -0.74  -0.33  -0.19  -0.08   0.31    456   1.01
coeff_angles[4]    -0.15    0.01   0.22   -0.6  -0.25  -0.13  -0.04   0.31    409   1.01
coeff_angles[5]     0.12    0.01   0.22  -0.34   0.02   0.11   0.23   0.57    397   1.02
sigma_int[1]        0.09  9.4e-4   0.03   0.03   0.07   0.09   0.11   0.14    883   1.01
outl_frac[1]        0.01  1.7e-4   0.01 1.3e-3 4.4e-3 8.3e-3   0.02   0.05   5177    1.0
coeff[1]           -0.22  3.3e-3   0.09  -0.45  -0.25  -0.21  -0.18  -0.05    770   1.01
coeff[2]            2.86    0.03   0.98   0.22   2.58   3.09   3.42   4.23    884   1.01
coeff[3]           -0.22    0.01    0.3  -0.91  -0.35  -0.19  -0.08   0.32    429   1.01
coeff[4]           -0.15    0.01   0.25  -0.68  -0.26  -0.13  -0.05   0.32    373   1.02
coeff[5]            0.13    0.01   0.25  -0.35   0.02   0.11   0.24   0.64    356   1.02
outl_loglike[1]     5.99    0.02   1.34   3.52   5.26   6.04    6.8   8.21   5038    1.0
outl_loglike[2]     6.14    0.02    1.1   3.96   5.44   6.16   6.86   8.24   4093    1.0
outl_loglike[3]     6.15    0.02   1.15   3.94   5.44   6.17    6.9   8.29   4811    1.0
outl_loglike[4]     6.16    0.02   1.11   4.01   5.46   6.18    6.9   8.24   5125    1.0
outl_loglike[5]     6.16    0.02   1.11    4.0   5.45   6.17    6.9   8.27   3998    1.0
outl_loglike[6]     5.99    0.02   1.29   3.51   5.27   6.05    6.8   8.23   4532    1.0
outl_loglike[7]     5.98    0.02   1.23   3.54   5.25   6.03   6.78    8.2   3678    1.0
outl_loglike[8]     6.06    0.02   1.26   3.78   5.35    6.1   6.83   8.24   5759    1.0
outl_loglike[9]     6.05    0.02   1.45   3.73   5.32   6.08   6.82   8.24   6292    1.0
outl_loglike[10]    3.77     0.1   6.77 -14.35   3.89   5.29    6.3   7.94   4856    1.0
outl_loglike[11]    6.12    0.02   1.19   3.82    5.4   6.15   6.89   8.29   4068    1.0
outl_loglike[12]     6.2    0.03    1.2   4.13   5.52   6.22   6.92   8.25   2302    1.0
outl_loglike[13]    5.87    0.02   1.47    3.3   5.11   5.93   6.72   8.18   5589    1.0
outl_loglike[14]    6.23    0.02   1.06   4.16   5.53   6.23   6.94   8.27   4798    1.0
outl_loglike[15]    6.27    0.01   1.08   4.26   5.59   6.28   6.98   8.32   5941    1.0
outl_loglike[16]    6.08    0.02    1.2   3.77   5.38   6.12   6.85   8.24   5171    1.0
outl_loglike[17]    6.12    0.02   1.15   3.89   5.41   6.15   6.87   8.27   4646    1.0
outl_loglike[18]    6.01    0.02    1.2    3.6   5.27   6.05   6.81   8.25   3895    1.0
outl_loglike[19]    6.26    0.02   1.04   4.28   5.57   6.26   6.95   8.31   4707    1.0
outl_loglike[20]    6.22    0.02   1.08   4.13   5.52   6.23   6.93   8.32   3389    1.0
outl_loglike[21]    6.24    0.02   1.06   4.18   5.54   6.24   6.94   8.32   3436    1.0
outl_loglike[22]    6.14    0.01   1.08   4.06   5.45   6.15   6.85   8.17   6846    1.0
outl_loglike[23]    6.24    0.02   1.08   4.22   5.55   6.24   6.94   8.32   3958    1.0
outl_loglike[24]    6.23    0.02   1.07   4.21   5.54   6.24   6.94   8.29   4149    1.0
outl_loglike[25]    6.09    0.02   1.21   3.78   5.37   6.12   6.85   8.25   4786    1.0
outl_loglike[26]     6.2    0.02   1.13   4.14   5.51   6.21   6.91   8.24   4835    1.0
outl_loglike[27]    6.14    0.02    1.1   4.02   5.45   6.16   6.87   8.21   4010    1.0
outl_loglike[28]    5.66    0.02   1.94    2.7   4.91    5.8   6.63   8.15  10936    1.0
outl_loglike[29]    6.04    0.02   1.17    3.7   5.33   6.08   6.81   8.18   5009    1.0
