Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=40000; warmup=20000; thin=1; 
post-warmup draws per chain=20000, total post-warmup draws=80000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.12  2.4e-4   0.03 -19.18 -19.14 -19.12 -19.11 -19.07  12519    1.0
coeff_angles[1]    -0.19  2.4e-4   0.03  -0.25  -0.21  -0.19  -0.17  -0.14  14149    1.0
coeff_angles[2]     1.27  1.2e-4   0.02   1.23   1.26   1.27   1.29   1.31  33752    1.0
coeff_angles[3]    -0.07  4.1e-4   0.05  -0.16   -0.1  -0.08  -0.05   0.02  12870    1.0
coeff_angles[4]    -0.04  3.5e-4   0.03  -0.11  -0.06  -0.04  -0.02   0.02   8788    1.0
sigma_int[1]        0.11  1.6e-4   0.02   0.07    0.1   0.11   0.12   0.14  11759    1.0
outl_frac[1]        0.01  6.0e-5   0.01 1.3e-3 4.6e-3 8.7e-3   0.02   0.05  44696    1.0
coeff[1]            -0.2  2.5e-4   0.03  -0.26  -0.21  -0.19  -0.18  -0.14  14023    1.0
coeff[2]            3.27  1.5e-3   0.26   2.78    3.1   3.27   3.44    3.8  30544    1.0
coeff[3]           -0.07  4.2e-4   0.05  -0.16  -0.11  -0.08  -0.05   0.02  12899    1.0
coeff[4]           -0.04  3.5e-4   0.03  -0.11  -0.06  -0.04  -0.02   0.02   8734    1.0
outl_loglike[1]     5.75  4.5e-3   1.15   3.36   5.05   5.79   6.51   7.85  65654    1.0
outl_loglike[2]     5.97  4.1e-3   1.03   3.93    5.3   5.98   6.66   7.96  64243    1.0
outl_loglike[3]     5.88  4.1e-3   1.07   3.74    5.2    5.9    6.6   7.91  67034    1.0
outl_loglike[4]     5.98  4.0e-3   1.03   3.95   5.31   5.98   6.66   7.96  64910    1.0
outl_loglike[5]     5.97  4.0e-3   1.03   3.94   5.29   5.97   6.65   7.95  65204    1.0
outl_loglike[6]     5.74  4.7e-3   1.15   3.33   5.04   5.79    6.5   7.83  60059    1.0
outl_loglike[7]     5.75  3.9e-3    1.1   3.52   5.06   5.78   6.49   7.83  80636    1.0
outl_loglike[8]     5.87  4.0e-3   1.06   3.74   5.19   5.88   6.58   7.91  69053    1.0
outl_loglike[9]      5.8  4.1e-3   1.08   3.65   5.11   5.82   6.52   7.86  69943    1.0
outl_loglike[10]    3.63    0.03   4.54 -10.12    3.3   4.78   5.81   7.43  30583    1.0
outl_loglike[11]    5.98  3.8e-3   1.02   3.99   5.31   5.98   6.66   7.97  70823    1.0
