# FITOPT: ->FITOPT000
# FITOPT:	 NONE
# ----------------------------------------
NVAR: 34
VARNAMES:  CID IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB PIa DISTCORR
# VERSION_SNANA		 = v10_45j
# TABLE NAME: FITRES
#

SN: 2004ef 5 1 NULL 1 0.0298 0.0000 0.0300 0.0000 66.5087 0.0000 10.9920 0.0490 95.7827 95.7826 95.7826 53264.2 0.0 -1.40044e+00 2.59366e-02 8.37232e-02 2.23229e-02 1.66076e+01 3.58326e-02 4.08637e-03 1.34863e-04 -1.20250e-04 3.63661e-07 -2.17218e-06 161 144.1770 0.8251 1.0000 -0.0009
SN: 2004eo 5 1 NULL 1 0.0146 0.0000 0.0151 0.0000 148.2673 0.0000 10.9820 0.2530 78.0869 53.0001 53.0000 53278.4 0.0 -1.19557e+00 2.71510e-02 1.28540e-03 2.55094e-02 1.47844e+01 6.15753e-02 2.17402e-02 1.23295e-03 -1.58207e-04 5.16471e-06 -2.39762e-05 142 142.8523 0.4878 1.0000 0.0074
SN: 2004ey 5 1 NULL 1 0.0146 0.0000 0.0153 0.0000 205.2742 0.0000 9.9500 0.1540 92.8477 92.8477 92.8477 53304.5 0.0 8.29832e-02 2.40321e-02 -1.40211e-01 2.60433e-02 1.43824e+01 7.24542e-02 3.14830e-02 2.10095e-03 -2.37242e-04 1.44515e-05 -4.26799e-05 107 124.9797 0.1129 1.0000 0.0074
SN: 2004gu 5 1 NULL 1 0.0470 0.0000 0.0471 0.0000 46.8943 0.0000 10.2250 0.1590 74.3295 74.3294 70.7107 53362.5 0.1 1.30650e+00 6.68126e-02 7.65191e-02 2.28561e-02 1.71890e+01 2.57433e-02 2.41237e-03 5.71983e-05 -2.73903e-04 2.01332e-07 -1.00620e-06 98 124.5600 0.0421 1.0000 -0.0101
SN: 2005ag 5 1 NULL 1 0.0800 0.0000 0.0799 0.0000 -28.8831 0.0000 10.9020 0.1430 74.3295 74.3294 70.7107 53415.0 0.1 1.48300e-01 5.56215e-02 -4.05071e-02 2.37908e-02 1.82152e+01 2.91145e-02 9.57068e-04 2.56642e-05 -2.19112e-04 1.44301e-07 -4.32246e-07 126 103.0028 0.9418 1.0000 -0.0326
SN: 2005be 5 1 NULL 1 0.0342 0.0000 0.0341 0.0000 -14.0023 0.0000 10.3100 0.2000 50.7022 50.7021 50.7021 53459.6 0.3 -1.86511e+00 6.65810e-02 -1.10434e-01 2.78309e-02 1.65349e+01 4.24201e-02 4.37582e-03 1.70965e-04 2.77091e-04 -4.34061e-06 -3.39062e-06 46 22.7902 0.9989 1.0000 -0.0025
SN: 2005bo 5 1 NULL 1 0.0156 0.0000 0.0152 0.0000 -107.0420 0.0000 10.3578 0.2809 74.3295 74.3294 70.7107 53478.7 0.2 -1.08490e+00 1.35100e-01 2.32100e-01 2.37505e-02 1.54110e+01 3.43162e-02 1.22075e-02 3.85837e-04 -1.81198e-04 3.83543e-06 -6.84868e-06 33 9.9764 1.0000 1.0000 0.0074
SN: 2005el 5 1 NULL 1 0.0149 0.0000 0.0150 0.0000 44.7445 0.0000 11.3050 2.6740 92.8477 92.8477 92.8477 53646.8 0.1 -1.35486e+00 5.10141e-02 -1.38705e-01 2.86578e-02 1.45886e+01 6.69163e-02 2.60368e-02 1.60471e-03 -1.95507e-04 2.08902e-06 -3.57945e-05 64 90.9976 0.0184 1.0000 0.0074
