Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.19  3.1e-5 6.1e-3 -19.21  -19.2 -19.19 -19.19 -19.18  39808    1.0
coeff_angles[1]    -0.13  3.2e-5 5.6e-3  -0.14  -0.13  -0.13  -0.12  -0.11  31838    1.0
coeff_angles[2]     1.23  4.0e-5 7.2e-3   1.22   1.23   1.23   1.24   1.25  33159    1.0
coeff_angles[3]    -0.04  7.2e-5   0.01  -0.06  -0.05  -0.04  -0.04  -0.02  20997    1.0
sigma_int[1]        0.12  3.5e-5 5.5e-3   0.11   0.11   0.12   0.12   0.13  23999    1.0
outl_frac[1]        0.04  6.4e-5   0.01   0.02   0.03   0.04   0.05   0.06  34491    1.0
coeff[1]           -0.13  3.2e-5 5.7e-3  -0.14  -0.13  -0.13  -0.12  -0.12  31833    1.0
coeff[2]            2.85  3.6e-4   0.07   2.72   2.81   2.85    2.9   2.98  33233    1.0
coeff[3]           -0.04  7.2e-5   0.01  -0.06  -0.05  -0.04  -0.04  -0.02  20995    1.0
outl_loglike[1]     4.32  4.4e-3   0.61   2.85   4.09   4.41   4.68   5.22  19045    1.0
outl_loglike[2]     4.67  1.8e-3   0.33   4.05   4.45   4.66   4.89   5.37  33677    1.0
outl_loglike[3]     4.43  3.6e-3   0.51   3.18    4.2   4.48   4.75   5.26  20832    1.0
outl_loglike[4]     4.47  2.9e-3   0.47   3.38   4.24   4.51   4.77   5.28  25942    1.0
outl_loglike[5]     4.42  2.8e-3   0.49   3.29   4.17   4.47   4.74   5.25  31552    1.0
outl_loglike[6]     4.33  2.4e-3   0.48   3.28   4.05   4.36   4.64   5.18  40244    1.0
outl_loglike[7]     4.41  3.7e-3   0.51   3.21   4.17   4.46   4.72   5.22  19020    1.0
outl_loglike[8]     4.51  2.9e-3   0.43   3.53   4.27   4.53   4.78   5.28  22965    1.0
outl_loglike[9]     4.03  4.8e-3   0.82   1.98   3.68   4.21   4.57   5.15  29201    1.0
outl_loglike[10]    4.53  2.7e-3   0.43   3.54   4.29   4.55    4.8   5.31  26889    1.0
outl_loglike[11]    2.64  4.7e-3   1.09   0.11   2.04   2.78   3.41   4.37  53221    1.0
outl_loglike[12]    4.39  3.6e-3   0.55   3.06   4.15   4.46   4.73   5.24  22546    1.0
outl_loglike[13]    3.91  3.3e-3   0.49   2.77   3.67   3.96   4.22   4.73  21585    1.0
outl_loglike[14]    4.47  3.1e-3   0.45   3.44   4.23    4.5   4.75   5.26  21695    1.0
outl_loglike[15]    4.59  2.3e-3   0.38   3.82   4.35   4.59   4.83   5.33  27530    1.0
outl_loglike[16]    4.51  2.0e-3   0.41   3.65   4.26   4.52   4.77   5.28  39907    1.0
outl_loglike[17]    4.11  3.6e-3   0.72   2.34   3.75   4.24   4.59   5.16  40604    1.0
outl_loglike[18]    4.08  4.6e-3    0.6    2.6   3.84   4.17   4.44   4.98  16840    1.0
outl_loglike[19]    4.43  3.9e-3   0.53   3.15   4.19   4.49   4.75   5.26  18574    1.0
outl_loglike[20]    4.17  2.2e-3    0.5   3.12   3.87    4.2   4.51   5.07  51770    1.0
outl_loglike[21]    4.51  2.6e-3   0.44    3.5   4.27   4.54   4.79    5.3  27929    1.0
outl_loglike[22]    4.42  3.7e-3   0.54    3.1   4.19   4.48   4.75   5.27  20674    1.0
outl_loglike[23]     4.2  3.5e-3   0.68   2.53   3.89   4.32   4.65    5.2  36630    1.0
outl_loglike[24]    3.91  3.1e-3   0.67   2.37   3.52   3.99   4.38   5.02  48380    1.0
outl_loglike[25]    4.55  2.0e-3   0.38   3.76   4.31   4.55    4.8    5.3  38810    1.0
outl_loglike[26]    4.63  1.8e-3   0.35   3.97    4.4   4.62   4.86   5.35  36050    1.0
outl_loglike[27]    4.38  3.8e-3   0.58   2.95   4.14   4.46   4.73   5.25  23001    1.0
outl_loglike[28]    4.29  3.5e-3   0.62   2.74   4.02   4.39   4.69   5.22  32540    1.0
