Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]             -19.45  5.9e-5   0.01 -19.48 -19.46 -19.45 -19.45 -19.43  32995    1.0
coeff_angles[1]     0.74  1.2e-4   0.02   0.71   0.73   0.74   0.76   0.78  24674    1.0
coeff_angles[2]     0.05  4.4e-5 7.4e-3   0.03   0.04   0.05   0.05   0.06  27498    1.0
coeff_angles[3]    -0.04  1.1e-4   0.01  -0.07  -0.05  -0.04  -0.03  -0.02  16516    1.0
sigma_int[1]        0.12  5.7e-5 7.4e-3    0.1   0.11   0.12   0.12   0.13  16867    1.0
outl_frac[1]        0.06  9.6e-5   0.02   0.03   0.05   0.06   0.07   0.09  25897    1.0
coeff[1]            0.92  2.2e-4   0.03   0.85    0.9   0.92   0.95   0.98  24751    1.0
coeff[2]            0.05  4.5e-5 7.4e-3   0.03   0.04   0.05   0.05   0.06  27497    1.0
coeff[3]           -0.04  1.1e-4   0.01  -0.07  -0.05  -0.04  -0.03  -0.02  16516    1.0
outl_loglike[1]     3.93  2.7e-3    0.5   2.74   3.68    4.0   4.26   4.74  35267    1.0
outl_loglike[2]     3.75  9.1e-3   1.11   1.62   3.59   3.96   4.23   4.72  14802    1.0
outl_loglike[3]     3.82  8.1e-3   0.95   1.81   3.64    4.0   4.27   4.75  13726    1.0
outl_loglike[4]     3.92  5.3e-3   0.67   2.31   3.72   4.04    4.3   4.78  15851    1.0
outl_loglike[5]     3.66    0.01   1.19   1.39   3.51   3.89   4.16   4.66  11955    1.0
outl_loglike[6]     3.93  5.2e-3   0.68   2.33   3.73   4.05    4.3   4.78  17119    1.0
outl_loglike[7]     3.53    0.01   1.57   0.08   3.37   3.91   4.22   4.74  14942    1.0
outl_loglike[8]     3.83  7.4e-3   0.88   1.94   3.65   3.99   4.26   4.74  14090    1.0
outl_loglike[9]     4.01  3.6e-3   0.53   2.68    3.8   4.08   4.33   4.79  21448    1.0
outl_loglike[10]    3.66    0.01   1.46   1.18   3.53   3.94   4.21   4.71  15105    1.0
outl_loglike[11]     3.7    0.01   1.21   1.46   3.54   3.92    4.2   4.68  13724    1.0
outl_loglike[12]     4.0  3.6e-3   0.54   2.66   3.79   4.07   4.32   4.79  22771    1.0
outl_loglike[13]    3.76  9.8e-3   1.12   1.52    3.6   3.98   4.25   4.73  13131    1.0
outl_loglike[14]    3.53  9.0e-3   1.05   1.34   3.36   3.74   4.01    4.5  13749    1.0
outl_loglike[15]    3.58    0.02   1.79    0.5    3.5   3.93   4.22   4.71  13967    1.0
outl_loglike[16]    3.04  5.3e-3   1.05   0.49   2.53   3.23   3.77   4.48  38937    1.0
outl_loglike[17]    3.66  2.6e-3   0.55   2.39   3.34   3.72   4.03   4.58  43718    1.0
outl_loglike[18]    4.04  3.5e-3   0.49   2.81   3.83    4.1   4.34   4.79  19269    1.0
outl_loglike[19]    3.62    0.01   1.44   1.07    3.5   3.89   4.17   4.66  12377    1.0
outl_loglike[20]    3.72    0.01   1.21   1.41   3.57   3.96   4.23   4.71  11952    1.0
outl_loglike[21]     3.4  7.7e-3   0.88   1.43   3.22   3.57   3.84   4.33  13192    1.0
outl_loglike[22]    4.26  1.8e-3   0.29   3.75   4.06   4.24   4.45   4.88  26886    1.0
outl_loglike[23]    3.62    0.01   1.25   1.36   3.47   3.86   4.14   4.62  13001    1.0
outl_loglike[24]    4.16  1.8e-3   0.32   3.56   3.95   4.16   4.37   4.81  30987    1.0
outl_loglike[25]    3.85  7.1e-3   0.83   1.94   3.66   4.02   4.28   4.76  13518    1.0
