Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                   mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]            -19.42    0.03   0.51 -20.69 -19.53 -19.38 -19.24 -18.52    329   1.02
coeff_angles[1]     0.6  3.4e-3   0.15   0.23   0.54   0.62   0.69   0.85   2055    1.0
coeff_angles[2]    0.17  2.5e-3   0.09-7.6e-3   0.13   0.18   0.22   0.35   1319    1.0
coeff_angles[3]    0.18  1.2e-3   0.07   0.05   0.14   0.18   0.21   0.31   2804    1.0
coeff_angles[4]    0.08  1.4e-3   0.07  -0.05   0.05   0.08   0.11   0.22   2128    1.0
coeff_angles[5]   -0.17  1.8e-3   0.07   -0.3   -0.2  -0.17  -0.13  -0.03   1547    1.0
coeff_angles[6]    0.07  1.3e-3   0.05  -0.03   0.04   0.07   0.09   0.17   1416    1.0
coeff_angles[7]    -0.1  2.4e-3   0.08  -0.27  -0.14   -0.1  -0.06   0.05   1078    1.0
coeff_angles[8]   -0.04    0.03   0.71  -1.36  -0.56  -0.03   0.48   1.26    778   1.01
sigma_int[1]       0.07  1.9e-3   0.04 9.9e-3   0.04   0.06   0.09   0.17    435   1.02
outl_frac[1]       0.05  5.4e-4   0.03 4.9e-3   0.03   0.05   0.07    0.1   2276    1.0
coeff[1]           0.71  4.7e-3   0.22   0.24    0.6   0.71   0.82   1.14   2183    1.0
coeff[2]           0.18  2.6e-3    0.1-7.6e-3   0.13   0.18   0.22   0.37   1324    1.0
coeff[3]           0.18  1.3e-3   0.07   0.05   0.15   0.18   0.21   0.32   2793    1.0
coeff[4]           0.08  1.5e-3   0.07  -0.05   0.05   0.08   0.11   0.23   2110    1.0
coeff[5]          -0.17  1.9e-3   0.07  -0.31   -0.2  -0.17  -0.13  -0.03   1585    1.0
coeff[6]           0.07  1.4e-3   0.05  -0.03   0.04   0.07   0.09   0.17   1425    1.0
coeff[7]           -0.1  2.5e-3   0.08  -0.27  -0.14   -0.1  -0.06   0.05   1064    1.0
coeff[8]          -0.15    0.08    1.7  -4.59  -0.62  -0.03   0.52   3.11    413   1.01
outl_loglike[1]    3.77    0.77  33.77   1.92   4.03   4.76   5.49   7.12   1925    1.0
outl_loglike[2]    4.81    0.14   5.92   2.96   4.38   4.95   5.59   7.07   1686    1.0
outl_loglike[3]    4.99    0.04   3.14   3.27   4.43   4.98   5.62   7.13   7828    1.0
outl_loglike[4]    4.78    0.08   5.98    2.7    4.3   4.91   5.57   7.06   6179    1.0
outl_loglike[5]    4.75    0.14   6.79   2.78   4.35   4.93   5.59   7.09   2285    1.0
outl_loglike[6]     4.8    0.14   6.06   2.98   4.38   4.95   5.59   7.05   1822    1.0
outl_loglike[7]    4.71    0.04   3.57   2.31   4.19   4.85   5.54   7.07   9251    1.0
outl_loglike[8]    4.66    0.05   3.65   1.96    4.2   4.87   5.55   7.04   5349    1.0
outl_loglike[9]    5.03    0.03   1.38   3.27   4.43   4.98   5.63   7.14   2719    1.0
outl_loglike[10]   5.06    0.03   1.06   3.29   4.45   4.99   5.64   7.16   1420    1.0
outl_loglike[11]   4.94    0.03   1.51    2.9   4.34   4.93   5.59   7.09   3211    1.0
outl_loglike[12]  -7.34    2.33  74.61 -72.21  -0.32   4.03    5.2   6.94   1027    1.0
outl_loglike[13]   4.88    0.07   5.73   3.09   4.37   4.96    5.6   7.09   6767    1.0
outl_loglike[14]   5.02    0.03   1.36    3.2   4.41   4.97   5.61   7.12   2759    1.0
outl_loglike[15]   4.62    0.23  10.09   2.85   4.34   4.92   5.56   7.09   2008    1.0
outl_loglike[16]   4.97    0.02   1.76   3.01   4.39   4.96    5.6   7.05   8016    1.0
outl_loglike[17] -69.26   11.57 190.89 -561.6 -49.48  -18.1  -4.94   5.47    272   1.03
outl_loglike[18]   4.87    0.04   3.33   2.84   4.31   4.91   5.57   7.06   6614    1.0
outl_loglike[19]   4.93    0.03   3.95   3.09   4.38   4.95    5.6   7.11  15213    1.0
outl_loglike[20] -135.6    26.5 450.15  -1125 -79.86 -28.61  -9.42   5.25    289   1.04
outl_loglike[21]   4.99    0.03   1.37   3.04   4.38   4.96    5.6   7.18   2174    1.0
outl_loglike[22] -12.32   11.49 247.68 -49.81   2.91   4.18   5.17   6.96    465   1.01
outl_loglike[23]  -0.16    1.98 114.99  -9.08   4.16   4.83   5.51   7.07   3380    1.0
outl_loglike[24]   5.03    0.04    3.2   3.38   4.46    5.0   5.63   7.17   6042    1.0
outl_loglike[25]  -4.01    7.72 235.33   -3.7   4.09    4.8   5.52   7.06    929    1.0
outl_loglike[26]   4.89    0.04   5.96   2.93   4.38   4.95   5.61   7.12  18884    1.0
outl_loglike[27]   4.65    0.12   8.16   2.43   4.24   4.86   5.54   6.98   4871    1.0
outl_loglike[28] -224.6    53.2 1004.3  -1579 -101.8 -39.08 -15.25   5.03    356   1.03
outl_loglike[29]    5.0    0.02   1.93   3.25   4.42   4.98   5.62    7.1   7769    1.0
outl_loglike[30]   4.92    0.03   3.83   2.94   4.34   4.94   5.59   7.08  12062    1.0
outl_loglike[31]    4.9    0.04   2.49   2.94   4.36   4.93   5.57   6.97   4123    1.0
outl_loglike[32]   4.99    0.02    1.3   3.13   4.41   4.97   5.59   7.01   4036    1.0
outl_loglike[33]   4.42     0.3  12.93   2.38   4.28   4.89   5.54   7.01   1801    1.0
outl_loglike[34]  -3.09     4.0 103.17 -20.41    4.0   4.76   5.48   7.04    664   1.01
outl_loglike[35]   3.64    1.11  39.88    2.5   4.24   4.88   5.56   7.07   1290    1.0
outl_loglike[36]   4.94    0.09   7.22   3.25   4.42   4.99   5.62   7.17   5916    1.0
outl_loglike[37]   5.03    0.02   1.55    3.3   4.44    5.0   5.62   7.12   4221    1.0
outl_loglike[38]   2.44    0.57  23.75  -9.31   3.89   4.71   5.47   6.99   1725    1.0
outl_loglike[39]   2.83    0.51  27.11  -8.19   4.07    4.8   5.51   7.04   2803    1.0
lp__               41.9   19.22  62.14 -68.53  -4.12  40.61  81.78 167.02     10   1.22

Samples were drawn using NUTS at Mon Sep 16 22:32:20 2019.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
