Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
MB[1]              -19.2  6.2e-5   0.01 -19.22  -19.2  -19.2 -19.19 -19.18  29995    1.0
coeff_angles[1]    -0.12  7.5e-5   0.01  -0.14  -0.13  -0.12  -0.12   -0.1  18241    1.0
coeff_angles[2]     1.25  5.8e-5   0.01   1.23   1.24   1.25   1.26   1.27  31180    1.0
coeff_angles[3]    -0.01  2.1e-4   0.02  -0.06  -0.03  -0.01-5.4e-4   0.03   9776    1.0
sigma_int[1]        0.13  5.8e-5 9.4e-3   0.12   0.13   0.13   0.14   0.15  25783    1.0
outl_frac[1]        0.03  1.1e-4   0.02 8.2e-3   0.02   0.03   0.04   0.08  24888    1.0
coeff[1]           -0.13  7.6e-5   0.01  -0.15  -0.13  -0.13  -0.12  -0.11  18243    1.0
coeff[2]            3.02  5.8e-4    0.1   2.82   2.95   3.02   3.09   3.22  31260    1.0
coeff[3]           -0.01  2.1e-4   0.02  -0.06  -0.03  -0.01-5.4e-4   0.03   9777    1.0
outl_loglike[1]     4.77  3.2e-3   0.59   3.74   4.35   4.73   5.14   6.04  33272    1.0
outl_loglike[2]     4.37  3.7e-3   0.67    3.1   3.92   4.35    4.8   5.74  32885    1.0
outl_loglike[3]     4.72  3.3e-3    0.6   3.66    4.3   4.68    5.1    6.0  33595    1.0
outl_loglike[4]     4.78  3.2e-3   0.59   3.75   4.36   4.73   5.15   6.04  32828    1.0
outl_loglike[5]     3.99  3.9e-3   0.75   2.51    3.5   3.98   4.48   5.48  36529    1.0
outl_loglike[6]      4.1  3.9e-3   0.74   2.64   3.62   4.09   4.58   5.57  36099    1.0
outl_loglike[7]     3.64  4.3e-3   0.82   1.96   3.12   3.65   4.18   5.21  36209    1.0
outl_loglike[8]     4.78  3.2e-3   0.59   3.75   4.36   4.74   5.16   6.05  32859    1.0
outl_loglike[9]     4.62  3.5e-3   0.64   3.45    4.2   4.59   5.03   5.95  33817    1.0
outl_loglike[10]     4.6  3.4e-3   0.63   3.44   4.16   4.57   5.01   5.92  33953    1.0
outl_loglike[11]    4.65  3.5e-3   0.63   3.49   4.22   4.62   5.05   5.96  32880    1.0
outl_loglike[12]     4.0  4.3e-3   0.78   2.41   3.51   4.01   4.52   5.51  33135    1.0
outl_loglike[13]    4.66  3.5e-3   0.62   3.54   4.23   4.63   5.06   5.98  32795    1.0
outl_loglike[14]    4.76  3.3e-3   0.59   3.73   4.34   4.72   5.13   6.03  32701    1.0
outl_loglike[15]    4.43  3.6e-3   0.67   3.15   3.97   4.41   4.86   5.81  34776    1.0
outl_loglike[16]    3.73  4.4e-3   0.83   2.04    3.2   3.75   4.28   5.32  35862    1.0
outl_loglike[17]    4.07  3.9e-3   0.74   2.62   3.59   4.07   4.55   5.54  34851    1.0
outl_loglike[18]    4.78  3.2e-3   0.59   3.76   4.36   4.73   5.15   6.04  33684    1.0
outl_loglike[19]    4.74  3.3e-3    0.6   3.68   4.32    4.7   5.12   6.02  32785    1.0
outl_loglike[20]    4.67  3.5e-3   0.63   3.53   4.25   4.64   5.08   5.98  31656    1.0
